,Total Employees,Tech/No Tech,Tech Role,MH Benefits,Awareness of Company MH Care,Formal MH Discussion,MH Resources,Anonymity,Medical Leave,MH Negative Impact,PH Negative Impact,Telling Coworkers,Telling Supervisors,MH PH Equal,Observed Negative Impact,Previous Employers,PH Potential Employer,MH Potential Employer,MH Identification Career Harm,Negative Impact Coworkers,Sharing w/ Family/Friends,Prev Observed Unsupportive Response,MH Family History,Past Mental Disorder,Current Mental Disorder,Professional Diagnosis,Sought Treatment,MH Interference Treatment,MH Interference No Treatment,Age,Gender,Country,State,Position,Remote
12,4,1.0,1.0,Yes,I am not sure,No,No,Yes,1,No,No,Yes,Yes,Yes,No,1,No,No,No,No,Somewhat open,No,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,3,Female,USA,2,Supervisor/Team Lead|Dev Evangelist/Advocate|Back-end Developer|Front-end Developer,Always
13,4,0.0,0.0,Yes,Yes,Yes,Yes,Yes,2,No,No,No,Maybe,Yes,No,1,Yes,No,Maybe,Yes,Not open at all,Yes,No,Maybe,Maybe,No,0,Not applicable to me,Sometimes,4,Male,Canada,9,DevOps/SysAdmin|Back-end Developer|Front-end Developer,Sometimes
14,4,1.0,1.0,Yes,Yes,No,I don't know,Yes,1,No,No,Yes,Yes,No,No,1,No,No,No,No,Somewhat open,No,Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,3,Male,USA,8,Designer,Always
15,4,1.0,1.0,I don't know,No,No,I don't know,I don't know,3,Maybe,Maybe,Maybe,Maybe,I don't know,No,1,Maybe,Maybe,Maybe,Maybe,Neutral,No,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,5,Male,USA,7,Other|Executive Leadership,Sometimes
16,3,1.0,1.0,Not eligible for coverage / N/A,No,No,No,I don't know,5,Maybe,No,Maybe,Maybe,No,No,1,Yes,No,Yes,No,Very open,Yes,Yes,Yes,Yes,Yes,1,Sometimes,Often,3,Female,Canada,9,Front-end Developer,Always
17,5,1.0,1.0,No,No,No,No,I don't know,0,Maybe,No,Yes,Maybe,No,No,1,No,No,Maybe,Maybe,Somewhat open,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,3,Male,UK,9,Back-end Developer,Never
19,4,0.0,0.0,I don't know,No,No,No,I don't know,0,Yes,No,No,No,Yes,No,1,Yes,No,Yes,Yes,Somewhat not open,No,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,3,Male,USA,2,Full track,Sometimes
20,2,1.0,1.0,No,I am not sure,No,No,I don't know,1,No,No,Maybe,Yes,I don't know,No,1,Maybe,No,Yes,Yes,Somewhat not open,Maybe,Yes,Maybe,No,No,0,Not applicable to me,Not applicable to me,2,Male,USA,2,Back-end Developer,Sometimes
21,6,0.0,0.0,Yes,No,Yes,I don't know,I don't know,2,No,No,Maybe,Yes,I don't know,No,1,No,No,Maybe,Maybe,Neutral,No,No,No,No,No,0,Not applicable to me,Not applicable to me,3,Male,USA,5,Other,Never
22,3,1.0,1.0,Yes,Yes,No,No,I don't know,1,Maybe,Maybe,Maybe,No,I don't know,No,1,Maybe,Maybe,Maybe,No,Neutral,No,I don't know,Maybe,No,No,0,Not applicable to me,Not applicable to me,2,Male,Germany,9,Back-end Developer,Sometimes
23,1,1.0,1.0,Yes,Yes,No,No,I don't know,4,Maybe,No,Maybe,Maybe,I don't know,No,1,No,No,Yes,Maybe,Somewhat open,Yes,Yes,Yes,No,Yes,1,Sometimes,Often,3,Male,Canada,9,Back-end Developer,Sometimes
25,4,0.0,0.0,Yes,Yes,I don't know,Yes,Yes,1,No,No,Maybe,Maybe,Yes,No,0,Maybe,Maybe,Maybe,No,Very open,Maybe,No,No,No,No,0,Not applicable to me,Not applicable to me,4,Male,Germany,9,Supervisor/Team Lead|Support|Back-end Developer,Never
26,3,0.0,0.0,No,No,No,No,I don't know,5,Yes,Yes,No,No,No,No,1,No,Maybe,Yes,Yes,Somewhat open,Maybe,I don't know,Yes,Yes,Yes,1,Rarely,Often,2,Male,Netherlands,9,Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer,Sometimes
27,4,1.0,1.0,I don't know,No,No,No,I don't know,4,No,No,No,No,I don't know,No,1,Maybe,No,Yes,Yes,Somewhat not open,Maybe,No,No,Maybe,No,1,Sometimes,Often,3,Male,Germany,9,Back-end Developer,Never
28,5,0.0,0.0,I don't know,No,Yes,Yes,I don't know,3,Maybe,No,Maybe,Maybe,I don't know,Yes,1,Maybe,No,Yes,No,Neutral,Yes,Yes,Yes,Maybe,No,1,Sometimes,Often,3,Female,UK,9,Other,Never
29,2,1.0,1.0,Not eligible for coverage / N/A,I am not sure,No,No,Yes,2,No,No,Yes,Yes,Yes,No,1,No,No,Yes,Yes,Somewhat not open,Yes,Yes,Yes,Yes,Yes,1,Sometimes,Often,3,Other,UK,9,Other|Supervisor/Team Lead|Support|Back-end Developer|Designer,Never
30,4,1.0,1.0,Not eligible for coverage / N/A,Yes,No,No,I don't know,2,Maybe,No,Maybe,Maybe,No,No,0,Maybe,Maybe,Yes,Maybe,Very open,Maybe,Yes,Yes,Yes,Yes,1,Rarely,Often,3,Other,Germany,9,Back-end Developer,Never
31,4,1.0,1.0,Yes,Yes,No,Yes,Yes,1,No,No,Yes,Yes,Yes,No,1,No,No,No,No,Very open,No,No,Yes,Yes,Yes,1,Often,Sometimes,3,Male,USA,2,Supervisor/Team Lead|Back-end Developer,Sometimes
32,6,1.0,1.0,I don't know,I am not sure,No,No,I don't know,1,Maybe,No,No,Maybe,No,No,0,No,No,Maybe,Maybe,Somewhat open,No,I don't know,Yes,Maybe,No,0,Rarely,Often,3,Male,USA,6,One-person shop|Front-end Developer|Back-end Developer|Dev Evangelist/Advocate|Other,Never
34,3,1.0,1.0,Yes,I am not sure,No,I don't know,Yes,1,No,No,Maybe,Yes,Yes,No,1,Yes,Yes,No,No,Somewhat not open,Maybe,No,Yes,Yes,No,0,Not applicable to me,Sometimes,3,Male,UK,9,Supervisor/Team Lead|DevOps/SysAdmin|Support|Back-end Developer,Sometimes
35,4,1.0,1.0,No,No,No,Yes,I don't know,2,Maybe,No,No,No,I don't know,Yes,1,No,No,Yes,Yes,Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,3,Male,Germany,9,Executive Leadership|Front-end Developer|Back-end Developer|Sales|Supervisor/Team Lead,Never
36,3,1.0,1.0,Yes,I am not sure,No,Yes,Yes,1,No,No,Yes,Maybe,Yes,No,1,Yes,Yes,Maybe,Maybe,Somewhat open,Yes,Yes,Yes,Yes,Yes,1,Sometimes,Often,4,Male,USA,7,Back-end Developer,Always
37,4,1.0,1.0,No,Yes,No,No,I don't know,2,No,No,Yes,Yes,Yes,No,1,Maybe,Maybe,Maybe,Yes,Somewhat open,Yes,No,No,Maybe,No,0,Never,Sometimes,2,Male,UK,9,Front-end Developer,Never
38,4,1.0,1.0,No,I am not sure,Yes,No,I don't know,2,No,No,Maybe,Yes,I don't know,No,1,Yes,Maybe,Maybe,No,Very open,No,Yes,Yes,Maybe,Yes,1,Rarely,Sometimes,2,Male,UK,9,Back-end Developer,Sometimes
39,6,1.0,1.0,Yes,Yes,I don't know,I don't know,I don't know,3,Maybe,No,Yes,Yes,I don't know,Yes,1,Yes,Yes,Maybe,Maybe,Very open,Yes,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,4,Male,Canada,9,Support|Other,Always
41,4,1.0,1.0,Yes,I am not sure,No,I don't know,Yes,2,No,No,Maybe,Yes,No,No,1,Maybe,Maybe,No,No,Somewhat open,Maybe,I don't know,Yes,Yes,No,1,Rarely,Sometimes,4,Male,USA,6,Other,Always
42,6,1.0,1.0,Yes,I am not sure,No,No,Yes,4,Yes,Maybe,Yes,Yes,No,No,1,Maybe,No,Maybe,Maybe,Very open,Maybe,Yes,Yes,Yes,No,1,Often,Often,4,Female,Netherlands,9,Supervisor/Team Lead|Other,Never
44,6,0.0,0.0,No,I am not sure,No,No,No,4,Maybe,No,No,No,No,No,1,No,No,Yes,Yes,Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,4,Male,USA,8,Back-end Developer,Never
45,2,1.0,1.0,Yes,Yes,I don't know,Yes,I don't know,2,Maybe,Maybe,Maybe,Maybe,No,No,1,No,No,Yes,Yes,Somewhat open,Yes,Yes,Yes,Yes,Yes,1,Sometimes,Often,3,Male,USA,3,Supervisor/Team Lead|Back-end Developer|Front-end Developer,Sometimes
47,2,1.0,1.0,I don't know,No,No,I don't know,I don't know,0,Maybe,No,No,Maybe,I don't know,No,1,Maybe,Maybe,Maybe,Maybe,Somewhat not open,No,I don't know,Maybe,Maybe,No,0,Not applicable to me,Sometimes,4,Male,USA,3,DevOps/SysAdmin|Back-end Developer|Front-end Developer,Sometimes
49,2,1.0,1.0,Yes,Yes,No,No,Yes,1,No,No,Yes,Maybe,I don't know,No,1,No,No,Maybe,Maybe,Somewhat open,No,No,Maybe,Yes,Yes,1,Often,Often,3,Female,USA,1,Supervisor/Team Lead,Always
50,3,1.0,1.0,No,I am not sure,No,No,I don't know,2,Maybe,Maybe,No,No,I don't know,No,1,No,No,Yes,Maybe,Neutral,Maybe,I don't know,Yes,Yes,Yes,1,Sometimes,Often,3,Male,Australia,9,Executive Leadership,Never
51,2,1.0,1.0,Yes,Yes,No,No,Yes,1,Maybe,Maybe,Yes,Yes,I don't know,No,1,Yes,Yes,Maybe,Maybe,Somewhat open,Maybe,Yes,No,No,No,0,Not applicable to me,Not applicable to me,2,Male,USA,1,Front-end Developer|Back-end Developer|Executive Leadership,Sometimes
53,6,1.0,1.0,Yes,Yes,No,Yes,I don't know,4,Maybe,Maybe,Maybe,Yes,Yes,No,1,Maybe,No,Maybe,No,Neutral,Yes,Yes,Yes,Yes,Yes,1,Never,Sometimes,3,Male,USA,1,Supervisor/Team Lead|DevOps/SysAdmin,Sometimes
54,5,0.0,0.0,Yes,Yes,No,No,I don't know,0,Maybe,No,Maybe,Maybe,I don't know,No,1,Maybe,No,Yes,Maybe,Neutral,No,No,Maybe,Maybe,Yes,1,Rarely,Often,3,Male,USA,8,DevOps/SysAdmin|Back-end Developer,Always
55,6,0.0,0.0,Yes,No,Yes,Yes,I don't know,4,Maybe,Maybe,Yes,Yes,I don't know,No,1,No,No,Maybe,No,Somewhat not open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,3,Female,USA,2,Other,Sometimes
56,3,1.0,1.0,Yes,Yes,No,Yes,I don't know,2,No,No,Yes,Yes,Yes,No,0,Maybe,Maybe,Maybe,No,Somewhat open,No,Yes,Maybe,Maybe,Yes,1,Rarely,Often,3,Male,USA,7,Full track,Never
57,4,0.0,0.0,Yes,Yes,No,I don't know,Yes,4,Maybe,No,Maybe,Yes,No,No,1,Yes,No,Yes,Maybe,Somewhat not open,Maybe,Yes,Maybe,Maybe,No,0,Sometimes,Often,3,Male,Canada,9,Supervisor/Team Lead,Never
58,2,0.0,0.0,Yes,I am not sure,No,No,I don't know,4,No,No,No,Maybe,I don't know,No,1,Maybe,No,No,Maybe,Somewhat not open,No,I don't know,Maybe,Maybe,No,0,Not applicable to me,Not applicable to me,4,Female,USA,6,Full track,Sometimes
59,4,0.0,0.0,I don't know,No,No,No,I don't know,3,Maybe,No,Maybe,No,I don't know,No,1,Yes,Maybe,Maybe,No,Not applicable to me (I do not have a mental illness),No,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,4,Male,USA,3,Back-end Developer,Sometimes
60,6,1.0,1.0,Yes,I am not sure,Yes,Yes,I don't know,3,No,No,Maybe,Yes,No,No,1,Maybe,Maybe,Yes,Yes,Somewhat open,Maybe,I don't know,No,Maybe,No,0,Sometimes,Sometimes,4,Male,Other,9,Back-end Developer,Sometimes
61,3,0.0,0.0,Not eligible for coverage / N/A,I am not sure,No,No,I don't know,5,Yes,No,No,Maybe,No,No,1,Yes,Maybe,Yes,Yes,Somewhat open,Maybe,No,Yes,Maybe,Yes,1,Rarely,Often,2,Male,UK,9,DevOps/SysAdmin,Never
62,3,1.0,1.0,Yes,Yes,No,No,I don't know,2,No,No,Yes,Yes,I don't know,No,1,Maybe,Maybe,Maybe,No,Somewhat open,Yes,No,No,No,No,0,Not applicable to me,Not applicable to me,3,Male,USA,2,Supervisor/Team Lead,Sometimes
66,2,0.0,0.0,No,Yes,No,No,I don't know,4,Maybe,No,Maybe,Maybe,No,Yes,1,Yes,No,Yes,Yes,Somewhat open,Yes,Yes,Yes,Yes,Yes,1,Rarely,Often,3,Female,USA,5,Supervisor/Team Lead,Never
67,6,1.0,1.0,Yes,I am not sure,Yes,Yes,I don't know,3,Maybe,Maybe,No,No,I don't know,No,1,Yes,No,Yes,Yes,Somewhat open,Yes,Yes,Yes,Yes,Yes,1,Often,Often,2,Male,USA,4,Back-end Developer,Always
68,4,1.0,1.0,Yes,I am not sure,No,I don't know,Yes,0,Maybe,Maybe,No,Maybe,I don't know,No,1,Maybe,No,Yes,Maybe,Somewhat open,No,Yes,Maybe,No,No,0,Not applicable to me,Not applicable to me,2,Male,USA,2,Front-end Developer,Never
69,3,0.0,0.0,No,Yes,No,I don't know,Yes,1,No,No,No,Yes,Yes,No,1,No,No,Maybe,Yes,Very open,No,I don't know,Yes,Maybe,Yes,1,Rarely,Often,2,Male,Netherlands,9,Back-end Developer,Sometimes
71,4,1.0,1.0,Yes,I am not sure,No,I don't know,I don't know,3,No,No,Maybe,Maybe,I don't know,No,0,Yes,Maybe,Maybe,Maybe,Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,2,Male,Other,9,Support,Sometimes
72,2,0.0,0.0,I don't know,No,No,No,I don't know,5,Yes,Maybe,No,No,No,No,1,No,No,Yes,Yes,Not open at all,No,Yes,No,No,No,0,Not applicable to me,Not applicable to me,4,Male,USA,4,Executive Leadership|Supervisor/Team Lead|Back-end Developer,Sometimes
73,1,1.0,1.0,No,No,No,I don't know,I don't know,1,No,No,Yes,Yes,I don't know,No,1,Yes,Yes,Maybe,No,Very open,No,No,Yes,No,Yes,1,Not applicable to me,Not applicable to me,4,Male,Netherlands,9,Full track,Sometimes
74,3,1.0,1.0,Yes,Yes,No,No,Yes,1,No,No,Maybe,Yes,Yes,No,1,Maybe,No,Maybe,No,Somewhat open,No,Yes,Maybe,Maybe,No,0,Not applicable to me,Sometimes,3,Male,USA,3,Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer,Always
75,3,1.0,1.0,No,I am not sure,No,No,I don't know,1,No,No,Maybe,Yes,I don't know,No,1,Maybe,No,Maybe,No,Somewhat open,No,Yes,No,No,No,0,Not applicable to me,Not applicable to me,4,Male,Netherlands,9,Front-end Developer|Back-end Developer|DevOps/SysAdmin,Sometimes
77,2,1.0,1.0,I don't know,I am not sure,No,No,No,2,No,No,Yes,Maybe,Yes,No,1,Maybe,Maybe,Maybe,No,Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,3,Female,Netherlands,9,Front-end Developer,Never
78,3,1.0,1.0,I don't know,I am not sure,No,I don't know,I don't know,4,Maybe,No,No,No,No,No,1,Yes,No,Maybe,Maybe,Neutral,No,No,No,No,No,0,Not applicable to me,Not applicable to me,3,Male,USA,3,Front-end Developer,Sometimes
79,3,1.0,1.0,Yes,Yes,No,Yes,Yes,1,No,No,Maybe,Yes,Yes,No,1,Yes,Maybe,Maybe,No,Very open,No,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,3,Male,USA,3,Supervisor/Team Lead|Dev Evangelist/Advocate|Back-end Developer,Always
80,1,1.0,1.0,Yes,Yes,No,I don't know,Yes,0,No,No,Maybe,Yes,I don't know,No,1,No,No,Maybe,Maybe,Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,2,Male,UK,9,Back-end Developer|DevOps/SysAdmin,Never
81,1,1.0,1.0,No,No,No,No,I don't know,5,Maybe,Maybe,No,No,I don't know,Yes,1,No,No,Maybe,Maybe,Somewhat not open,Yes,Yes,Yes,Yes,No,0,Often,Often,3,Male,Other,9,Back-end Developer,Never
83,3,1.0,1.0,I don't know,I am not sure,No,I don't know,Yes,2,No,No,Maybe,Yes,Yes,No,0,Yes,Maybe,No,No,Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,3,Male,USA,5,Dev Evangelist/Advocate|Back-end Developer,Sometimes
85,2,1.0,1.0,Yes,No,No,I don't know,I don't know,3,Maybe,No,No,Maybe,No,No,1,Maybe,Yes,Maybe,Maybe,Somewhat not open,Yes,No,Maybe,Maybe,No,0,Not applicable to me,Not applicable to me,4,Male,USA,6,DevOps/SysAdmin|Back-end Developer|Front-end Developer,Never
86,3,1.0,1.0,I don't know,No,No,No,I don't know,4,Maybe,No,Maybe,Maybe,No,No,1,Yes,No,Yes,Maybe,Somewhat open,No,No,Maybe,Maybe,No,0,Not applicable to me,Rarely,4,Male,Canada,9,Back-end Developer|Supervisor/Team Lead,Never
87,3,1.0,1.0,I don't know,I am not sure,No,I don't know,I don't know,4,Maybe,No,No,No,No,No,1,Maybe,Maybe,Yes,Yes,Neutral,Yes,I don't know,Yes,Yes,Yes,1,Sometimes,Often,3,Male,UK,9,Back-end Developer,Sometimes
89,3,1.0,1.0,I don't know,I am not sure,Yes,Yes,Yes,1,No,No,Maybe,Maybe,Yes,No,0,No,No,No,No,Very open,No,Yes,Yes,Yes,Yes,1,Sometimes,Often,2,Female,USA,5,Back-end Developer,Sometimes
90,4,0.0,0.0,No,I am not sure,No,No,I don't know,0,Maybe,No,No,No,I don't know,No,1,Maybe,No,Maybe,Maybe,Somewhat open,I am not sure,I don't know,Yes,No,Yes,1,Never,Sometimes,3,Male,Other,9,Other,Never
91,6,1.0,1.0,Yes,Yes,I don't know,Yes,I don't know,3,Maybe,Maybe,Maybe,Maybe,I don't know,No,1,No,No,Yes,Yes,Somewhat not open,No,Yes,Yes,Maybe,Yes,1,Rarely,Often,3,Male,USA,7,Back-end Developer,Sometimes
92,2,1.0,1.0,No,I am not sure,Yes,I don't know,I don't know,3,No,No,Maybe,Yes,Yes,No,1,Yes,Maybe,Maybe,Maybe,Somewhat open,Maybe,No,No,Yes,No,0,Rarely,Sometimes,2,Male,UK,9,Supervisor/Team Lead,Sometimes
93,2,1.0,1.0,No,I am not sure,No,No,I don't know,4,Yes,No,No,Yes,No,Yes,1,Yes,Yes,Maybe,Yes,Not open at all,Yes,No,No,No,No,0,Never,Sometimes,3,Male,Other,9,Front-end Developer,Always
94,2,0.0,0.0,I don't know,I am not sure,No,No,I don't know,3,No,No,Maybe,Yes,I don't know,No,1,Maybe,Maybe,Maybe,Maybe,Somewhat open,I am not sure,No,Yes,Yes,Yes,1,Sometimes,Often,2,Female,USA,6,Front-end Developer,Sometimes
95,4,1.0,1.0,Yes,I am not sure,No,I don't know,I don't know,3,No,No,Maybe,Maybe,I don't know,No,1,Yes,No,No,Maybe,Somewhat open,No,Yes,Yes,Yes,Yes,1,Rarely,Often,2,Male,USA,1,Back-end Developer,Sometimes
96,3,1.0,1.0,I don't know,I am not sure,No,I don't know,I don't know,1,No,No,Maybe,Maybe,I don't know,No,1,No,No,Yes,Yes,Not applicable to me (I do not have a mental illness),Yes,No,No,No,No,0,Not applicable to me,Not applicable to me,3,Female,USA,2,Front-end Developer,Always
97,3,1.0,1.0,I don't know,I am not sure,Yes,I don't know,Yes,0,No,No,No,No,Yes,No,1,Maybe,Maybe,Maybe,No,Somewhat open,No,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,4,Male,USA,5,Back-end Developer|DevOps/SysAdmin,Sometimes
99,4,1.0,1.0,Yes,Yes,No,No,I don't know,4,Maybe,No,Maybe,Yes,No,No,1,No,No,Maybe,Maybe,Somewhat open,No,Yes,Yes,Yes,Yes,1,Sometimes,Often,2,Female,USA,1,Back-end Developer,Sometimes
100,5,1.0,1.0,Yes,No,I don't know,I don't know,I don't know,3,Maybe,No,No,No,I don't know,No,1,No,No,Yes,Yes,Not applicable to me (I do not have a mental illness),I am not sure,No,No,No,No,0,Not applicable to me,Not applicable to me,4,Male,USA,7,DevOps/SysAdmin,Sometimes
101,4,1.0,1.0,I don't know,No,No,No,I don't know,0,Yes,No,Maybe,Yes,No,No,0,Maybe,No,Yes,Maybe,Very open,No,I don't know,Yes,Yes,Yes,1,Often,Often,2,Male,USA,2,Back-end Developer,Sometimes
102,2,1.0,1.0,I don't know,I am not sure,No,No,I don't know,3,No,No,Yes,Yes,I don't know,No,1,Yes,Yes,Maybe,Maybe,Somewhat open,No,Yes,No,No,No,0,Not applicable to me,Not applicable to me,3,Male,USA,3,Back-end Developer,Sometimes
103,3,1.0,1.0,I don't know,I am not sure,I don't know,I don't know,I don't know,1,Maybe,Maybe,No,No,I don't know,No,1,No,No,Yes,Yes,Somewhat open,No,Yes,Maybe,No,No,0,Not applicable to me,Not applicable to me,2,Female,USA,5,Designer,Sometimes
104,3,1.0,1.0,No,I am not sure,No,No,I don't know,4,Yes,No,Maybe,Maybe,No,Yes,0,No,No,Maybe,Maybe,Somewhat open,Maybe,I don't know,Maybe,Maybe,No,0,Not applicable to me,Sometimes,2,Male,Netherlands,9,Back-end Developer|DevOps/SysAdmin|Dev Evangelist/Advocate|Supervisor/Team Lead,Never
106,3,1.0,1.0,Yes,Yes,No,No,I don't know,4,Maybe,No,Maybe,No,No,No,1,Maybe,Maybe,Maybe,Maybe,Somewhat open,Maybe,Yes,Yes,Maybe,No,1,Sometimes,Sometimes,3,Female,USA,3,Back-end Developer,Never
107,6,1.0,1.0,Yes,Yes,No,Yes,Yes,0,Maybe,Maybe,Maybe,Maybe,No,No,1,Maybe,Maybe,Maybe,Maybe,Somewhat open,Maybe,Yes,No,Yes,Yes,1,Sometimes,Sometimes,3,Female,USA,2,Supervisor/Team Lead,Always
108,2,1.0,1.0,Yes,Yes,No,No,Yes,1,No,No,No,Yes,Yes,No,0,No,No,Yes,No,Somewhat not open,No,No,Yes,Yes,Yes,1,Rarely,Often,3,Male,USA,3,Front-end Developer|Back-end Developer|DevOps/SysAdmin|Supervisor/Team Lead,Sometimes
110,4,0.0,0.0,I don't know,No,No,I don't know,I don't know,2,No,No,Yes,Yes,I don't know,No,1,Yes,Yes,Maybe,Maybe,Not applicable to me (I do not have a mental illness),Maybe,No,No,Maybe,No,0,Not applicable to me,Not applicable to me,3,Male,USA,6,Designer,Sometimes
111,3,1.0,1.0,Yes,Yes,Yes,Yes,Yes,1,No,No,Yes,Yes,Yes,No,1,Yes,No,Maybe,No,Somewhat open,No,Yes,Yes,Yes,Yes,1,Sometimes,Often,3,Male,USA,1,Back-end Developer,Always
112,6,1.0,1.0,Yes,I am not sure,No,I don't know,I don't know,4,Yes,No,No,No,I don't know,No,0,No,No,Yes,Maybe,Somewhat open,No,Yes,Maybe,Maybe,No,0,Not applicable to me,Not applicable to me,3,Male,USA,5,Front-end Developer,Sometimes
115,3,0.0,0.0,Yes,Yes,No,Yes,Yes,0,Maybe,Maybe,Maybe,Maybe,I don't know,No,1,Maybe,Maybe,Maybe,No,Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,5,Male,USA,5,Executive Leadership|Supervisor/Team Lead,Sometimes
116,3,0.0,0.0,I don't know,No,No,No,I don't know,0,No,No,Maybe,Yes,I don't know,No,1,Maybe,Maybe,No,Maybe,Very open,No,Yes,Yes,Yes,Yes,1,Rarely,Often,2,Male,USA,3,Full track,Sometimes
117,3,1.0,1.0,Yes,Yes,Yes,Yes,Yes,2,No,No,Yes,Yes,Yes,No,1,Yes,No,Maybe,No,Very open,Yes,Yes,Yes,No,Yes,1,Never,Often,4,Female,USA,6,Front-end Developer,Sometimes
118,4,1.0,1.0,I don't know,I am not sure,No,I don't know,I don't know,3,No,No,Maybe,Maybe,I don't know,No,1,Maybe,No,Yes,Maybe,Somewhat open,No,Yes,Yes,Yes,Yes,1,Never,Often,3,Female,USA,3,Back-end Developer,Sometimes
119,2,1.0,1.0,Yes,No,No,No,No,3,Maybe,No,No,No,I don't know,No,1,No,No,Yes,Yes,Neutral,Maybe,Yes,Yes,Maybe,Yes,1,Rarely,Sometimes,4,Male,USA,3,DevOps/SysAdmin|Back-end Developer,Sometimes
